Timestamp,Bar,Action,Direction,Price,Quantity,Notes
2025-11-21 01:14:30,28,ENTRY,LONG,24077.00,1,EnterLong_Bar1|ATR=17.31|ADX=45.80|RSI=50.0|MACDH=5.533|BW=0.0001|Accel=2.7240|GradStab=1.2336|VOL=1|VPM=2.00
2025-11-21 01:27:00,53,EXIT,LONG,24109.00,1,VALIDATION_FAILED:FastGrad<=-1.0998(need>0.18)|ATR=10.80|ADX=31.20|RSI=52.5|MACDH=-1.532|BW=0.0002|Accel=-1.6293|GradStab=0.9781|VOL=1|VPM=2.00
2025-11-21 01:28:00,55,ENTRY,LONG,24124.25,1,EnterLong_Bar1|ATR=10.74|ADX=30.05|RSI=60.6|MACDH=-0.600|BW=0.0003|Accel=1.5783|GradStab=0.9932|VOL=4|VPM=8.00
2025-11-21 01:31:00,61,EXIT,LONG,24110.00,1,VALIDATION_FAILED:FastGrad<=-1.9987(need>0.18)|ATR=9.97|ADX=26.26|RSI=47.8|MACDH=-2.450|BW=0.0001|Accel=-2.4548|GradStab=1.1015|VOL=1|VPM=2.00
2025-11-21 01:31:30,62,ENTRY,SHORT,24115.00,1,EnterShort_Bar1|ATR=9.94|ADX=24.64|RSI=51.2|MACDH=-2.404|BW=0.0001|Accel=1.1320|GradStab=1.1578|VOL=1|VPM=2.00
2025-11-21 01:32:30,64,EXIT,SHORT,24127.75,1,VALIDATION_FAILED:FastGrad>=1.0280(need<-0.18)|ATR=10.24|ADX=23.94|RSI=58.3|MACDH=-1.042|BW=0.0002|Accel=-0.2587|GradStab=1.0932|VOL=1|VPM=2.00
2025-11-21 01:33:00,65,ENTRY,LONG,24126.75,1,EnterLong_Bar1|ATR=10.14|ADX=23.71|RSI=57.8|MACDH=-1.002|BW=0.0002|Accel=-0.3191|GradStab=1.0645|VOL=1|VPM=2.00
2025-11-21 01:36:30,72,EXIT,LONG,24128.25,1,VALIDATION_FAILED:FastGrad<=-0.6050(need>0.18)|ATR=10.68|ADX=24.83|RSI=53.4|MACDH=-0.886|BW=0.0002|Accel=-1.1686|GradStab=0.7533|VOL=1|VPM=2.00
2025-11-21 01:37:00,73,ENTRY,SHORT,24117.50,1,EnterShort_Bar1|ATR=10.75|ADX=22.95|RSI=46.4|MACDH=-2.311|BW=0.0001|Accel=-1.4726|GradStab=1.1824|VOL=1|VPM=2.00
2025-11-21 01:41:00,81,EXIT,SHORT,24117.00,1,VALIDATION_FAILED:FastGrad>=0.1954(need<-0.18)|ATR=10.15|ADX=22.84|RSI=49.0|MACDH=-1.560|BW=0.0001|Accel=0.5727|GradStab=0.8578|VOL=1|VPM=2.00
2025-11-21 01:41:30,82,ENTRY,SHORT,24106.75,1,EnterShort_Bar1|ATR=10.34|ADX=23.56|RSI=41.7|MACDH=-2.188|BW=0.0001|Accel=-1.5603|GradStab=0.8238|VOL=1|VPM=2.00
2025-11-21 01:42:30,84,EXIT,SHORT,24118.75,1,VALIDATION_FAILED:FastGrad>=0.7339(need<-0.18)|ATR=10.53|ADX=21.68|RSI=51.3|MACDH=-0.573|BW=0.0001|Accel=0.9581|GradStab=0.9866|VOL=1|VPM=2.00
2025-11-21 01:43:00,85,ENTRY,LONG,24128.50,1,EnterLong_Bar1|ATR=10.66|ADX=19.63|RSI=57.6|MACDH=0.782|BW=0.0000|Accel=1.3170|GradStab=1.2422|VOL=1|VPM=2.00
2025-11-21 01:50:00,99,EXIT,LONG,24147.75,1,VALIDATION_FAILED:FastGrad<=-0.5105(need>0.18)|ATR=10.18|ADX=20.85|RSI=56.7|MACDH=0.406|BW=0.0003|Accel=-0.7956|GradStab=1.2552|VOL=1|VPM=2.00
2025-11-21 01:50:30,100,ENTRY,SHORT,24141.00,1,EnterShort_Bar1|ATR=10.15|ADX=19.00|RSI=51.7|MACDH=-0.946|BW=0.0002|Accel=-0.9113|GradStab=1.6365|VOL=1|VPM=2.00
2025-11-21 01:55:30,110,EXIT,SHORT,24143.75,1,VALIDATION_FAILED:FastGrad>=0.3964(need<-0.18)|ATR=10.07|ADX=11.28|RSI=53.2|MACDH=-1.548|BW=0.0000|Accel=0.6947|GradStab=0.6336|VOL=1|VPM=2.00
