barIndex,Time,signal,trendSide,status,blockers,fastGrad,slowGrad,accel,adx,rsi,gradStab,bandwidth,trend_aligned
3684,08:42:00,SHORT,BEAR,BLOCKED,"AccelMisAligned(+0.177), RSI<50.0(48.5)",-0.590627217658039,-0.162785458091093,-0.721877710471745,25.2792360664043,48.4618909190768,0.427841759566945,4.38353879585607e-05,True
3713,08:56:30,LONG,BULL,BLOCKED,AccelMisAligned(-0.332),1.4921692560456,1.27940721164487,1.82376242405371,38.3143732104702,78.45063957598,0.212762044400733,0.0002143953946997,True
3714,08:57:00,LONG,BULL,BLOCKED,AccelMisAligned(-0.606),0.886155011143273,0.963681354751316,1.0830783469537,40.4711527859254,72.6285278075319,0.0775263436080422,0.000203655767748,True
3715,08:57:30,LONG,BULL,BLOCKED,AccelMisAligned(-0.682),0.204374761182407,0.570314876524208,0.249791374779306,39.33538828623,64.5975190717656,0.3659401153418,0.0001772882467396,True
3719,08:59:30,SHORT,BEAR,BLOCKED,RSI<50.0(49.4),-0.838132449414843,-0.22297389180676,-0.96882854928117,31.1588360247939,49.3934991593571,0.615158557608083,6.51631741175204e-05,True
3720,09:00:00,SHORT,BEAR,BLOCKED,"AccelMisAligned(+0.049), RSI<50.0(48.2)",-0.789050516465068,-0.264096559709287,-1.01995063123468,28.6678535695602,48.2267789091304,0.52495395675578,4.10613921125944e-05,True
3743,09:11:32,SHORT,BEAR,BLOCKED,AccelMisAligned(+0.490),-0.203292121739651,-0.0784038988713291,-0.192912593236542,23.3093237508001,50.0862273957491,0.124888222868321,6.69750063946995e-06,True
3744,09:12:00,SHORT,BEAR,BLOCKED,AccelMisAligned(+0.029),-0.174594380594499,-0.0732044345822942,-0.157837576283782,22.5861781955016,50.0562704676826,0.101389946012205,3.55537607035558e-06,True
3752,09:16:00,LONG,BULL,BLOCKED,ADX<16(14.5),0.499932394181087,0.318790708861343,0.555472926218499,14.5159354094621,58.8952858669306,0.181141685319744,3.0685638000594e-05,True
3753,09:16:30,LONG,BULL,BLOCKED,"ADX<16(13.5), AccelMisAligned(-0.256)",0.243746339041536,0.197726741127553,0.40902330326935,13.4844600816855,56.4195134615923,0.0460195979139826,3.07930013470729e-05,True
