Performance,All trades,Long trades,Short trades,
Total net profit,$1981.00,$1027.00,$954.00,
Gross profit,$3695.50,$1889.00,$1806.50,
Gross loss,($1714.50),($862.00),($852.50),
Commission,$0.00,$0.00,$0.00,
Profit factor,2.16,2.19,2.12,
Max. drawdown,($320.00),($179.00),($179.50),
Sharpe ratio,2.62,2.46,2.45,
Sortino ratio,1.00,1.00,1.00,
Ulcer index,0.00,0.00,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.22%,1.31%,3.20%,
,,,,
Start date,12/7/2025,,,
Start time,12:00 AM,,,
End date,12/12/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,189,93,96,
Percent profitable,49.21%,48.39%,50.00%,
# of winning trades,93,45,48,
# of losing trades,94,47,47,
# of even trades,2,1,1,
,,,,
Avg. trade,$10.48,$11.04,$9.94,
Avg. winning trade,$39.74,$41.98,$37.64,
Avg. losing trade,($18.24),($18.34),($18.14),
Ratio avg. win / avg. loss,2.18,2.29,2.07,
,,,,
Max. consec. winners,5,6,7,
Max. consec. losers,11,6,7,
Largest winning trade,$420.00,$221.00,$420.00,
Largest losing trade,($40.00),($40.00),($40.00),
,,,,
Avg. # of trades per day,68.44,33.68,34.76,
Avg. time in market,8.00 min,8.11 min,7.90 min,
Profit per month,$15105.13,$7830.88,$7274.25,
Max. time to recover,1.66 days,1.22 days,1.05 days,
Longest flat period,380.00 min,462.00 min,544.00 min,
,,,,
Avg. MAE,$12.36,$13.07,$11.67,
Avg. MFE,$45.87,$41.40,$50.20,
Avg. ETD,$35.39,$30.35,$40.27,
