timestamp,bar,logType,message
2025-12-24 13:23:31.703,-1,INFO,"Output window logging initialized"
2025-12-24 13:23:31.704,-1,INFO,"[BarsOnTheFlow] Failed to export strategy state: Object reference not set to an instance of an object."
2025-12-24 13:23:31.930,5,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:31.930,5,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 17.05, Multiplier: 1, Stop: 17.05 (68 ticks)"
2025-12-24 13:23:31.931,5,INFO,"[ENTRY] Bar 5: Entering SHORT (fresh signal), CurrentPos=0, Contracts=1"
2025-12-24 13:23:32.131,5,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:32.131,5,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 17.05, Multiplier: 1, Stop: 17.05 (68 ticks)"
2025-12-24 13:23:32.131,5,INFO,"[ApplyStopLoss] Called for BarsOnTheFlowShort, StopLossTicks=68, Position=Flat, UseTrailingStop=True, UseDynamicStopLoss=True"
2025-12-24 13:23:32.131,5,INFO,"[ApplyStopLoss] Set TRAILING stop loss: 17.00 points (68 ticks)"
2025-12-24 13:23:32.137,5,INFO,"[ENTRY_FILL_DEBUG] Bar 5: Short entry filled, setting intendedPosition=Short"
2025-12-24 13:23:32.338,6,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:32.338,6,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 13.75, Multiplier: 1, Stop: 13.75 (55 ticks)"
2025-12-24 13:23:32.546,7,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:32.546,7,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 13.35, Multiplier: 1, Stop: 13.35 (53 ticks)"
2025-12-24 13:23:32.546,7,INFO,"[Trend Debug] Bar 7: trendUp=False, trendDown=True, EnableShorts=True, IsTrendDown()=True"
2025-12-24 13:23:32.547,7,INFO,"[Trend Debug] Bar 7: recentGood queue: bad,bad,bad,good,bad"
2025-12-24 13:23:32.547,7,INFO,"[Trend Debug] Bar 7: recentPnl queue: -11.00,-2.75,-4.50,1.50,-2.25"
2025-12-24 13:23:32.754,8,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:32.754,8,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 11.25, Multiplier: 1, Stop: 11.25 (45 ticks)"
2025-12-24 13:23:32.959,9,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:32.959,9,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 8.80, Multiplier: 1, Stop: 8.80 (35 ticks)"
2025-12-24 13:23:33.164,10,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:33.164,10,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 7.80, Multiplier: 1, Stop: 7.80 (31 ticks)"
2025-12-24 13:23:33.365,10,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:33.365,10,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 7.80, Multiplier: 1, Stop: 7.80 (31 ticks)"
2025-12-24 13:23:33.572,11,INFO,"[VolumeAwareStop] API timeout"
2025-12-24 13:23:33.572,11,INFO,"[DynamicStopLoss] Fallback: Avg range of last 5 bars: 7.25, Multiplier: 1, Stop: 7.25 (29 ticks)"
2025-12-24 13:23:33.761,12,INFO,"[Dashboard] POST succeeded: 200 OK (bar 12)"
