timestamp,bar,open,high,low,close,candleType,volume,fastEma,fastEmaGradDeg,trendUpSignal,trendDownSignal,goodCount,badCount,netPnl,barPattern,currentPosition,entryBar,entryPrice,unrealizedPnL,allowLongThisBar,allowShortThisBar,gradientFilterLong,gradientFilterShort,gradientValue,gradientLongThreshold,gradientShortThreshold,pendingLongFromBad,pendingShortFromGood,actionTaken,blockReason,opportunityType
2025-12-18 01:02:00.000,0,24980.0000,25000.2500,24974.7500,24981.0000,good,1985,24981.0000,NaN,False,False,0,0,0.00,G,Flat,-1,,0.00,True,False,False,False,NaN,10.00,-10.00,False,False,NO_SIGNAL,Trend requirements not met (G:0/B:0, PnL:0.00),NONE
2025-12-18 01:04:00.000,1,24980.5000,24991.5000,24980.2500,24984.5000,good,785,24982.1667,NaN,False,False,0,0,0.00,2G,Flat,-1,,0.00,True,False,False,False,NaN,10.00,-10.00,False,False,NO_SIGNAL,Trend requirements not met (G:0/B:0, PnL:0.00),NONE
2025-12-18 01:06:00.000,2,24983.5000,24984.7500,24967.5000,24972.5000,bad,1166,24978.9444,-45.78,False,False,2,1,-6.00,2GB,Flat,-1,,0.00,False,True,True,False,-45.78,10.00,-10.00,False,False,NO_SIGNAL,Trend requirements not met (G:2/B:1, PnL:-6.00),NONE
2025-12-18 01:08:00.000,3,24971.2500,24986.7500,24967.0000,24968.5000,bad,1061,24975.4630,-73.39,False,False,2,2,-8.75,2G2B,Flat,-1,,0.00,False,True,True,False,-73.39,10.00,-10.00,False,False,NO_SIGNAL,Trend requirements not met (G:2/B:2, PnL:-8.75),NONE
2025-12-18 01:10:00.000,4,24967.7500,24971.5000,24960.0000,24963.2500,bad,899,24971.3920,-75.17,False,True,2,3,-13.25,2G3B,Flat,5,,0.00,False,True,True,False,-75.17,10.00,-10.00,False,False,ENTERED_SHORT,,TAKEN
2025-12-18 01:12:00.000,5,24964.2500,24967.7500,24958.7500,24965.7500,good,540,24969.5113,-71.43,False,True,2,3,-12.75,G3BG,Short,5,24965.2500,-1.00,True,False,True,False,-71.43,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
2025-12-18 01:14:00.000,6,24965.2500,24966.2500,24957.0000,24963.0000,bad,515,24967.3409,-63.72,False,True,1,4,-19.00,3BGB,Short,5,24965.2500,4.50,False,True,True,False,-63.72,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
2025-12-18 01:16:00.000,7,24963.0000,24966.7500,24960.0000,24962.2500,bad,384,24965.6439,-62.65,False,True,1,4,-8.75,2BG2B,Short,5,24965.2500,6.00,False,True,True,False,-62.65,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
2025-12-18 01:18:00.000,8,24962.0000,24962.0000,24954.5000,24957.0000,bad,420,24962.7626,-66.40,False,True,1,4,-11.00,BG3B,Short,5,24965.2500,16.50,False,True,True,False,-66.40,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
2025-12-18 01:20:00.000,9,24957.5000,24962.2500,24955.7500,24957.0000,bad,330,24960.8417,-67.39,False,True,1,4,-7.00,G4B,Short,5,24965.2500,16.50,False,True,True,False,-67.39,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
2025-12-18 01:22:00.000,10,24957.0000,24959.0000,24952.7500,24955.0000,bad,479,24958.8945,-62.66,False,True,0,5,-10.50,5B,Short,5,24965.2500,20.50,False,True,True,False,-62.66,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
2025-12-18 01:24:00.000,11,24955.7500,24959.7500,24952.7500,24956.0000,good,517,24957.9297,-55.52,False,True,1,4,-8.00,4BG,Short,5,24965.2500,18.50,True,False,True,False,-55.52,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
2025-12-18 01:26:00.000,12,24956.5000,24956.7500,24933.0000,24934.2500,bad,1392,24950.0364,-77.28,False,True,1,4,-29.50,3BGB,Flat,13,,0.00,False,True,True,False,-77.28,10.00,-10.00,False,False,ENTERED_SHORT,,TAKEN
2025-12-18 01:28:00.000,13,24934.2500,24951.7500,24934.0000,24951.7500,good,763,24950.6076,-74.72,False,True,2,3,-7.00,2BGBG,Short,13,24951.7500,0.00,True,False,True,False,-74.72,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
